Test Case ID,Req ID,Category,Test Case Name,Description,Master Stimulus,Slave Response,Expected Result,Coverage/Assertion ID,Priority
TC_FEAT_006,REQ_AP5_03,APB4/5,Interface Protection Parity Check,Verify APB5 Parity Check signals (PADDRCHK PCTRLCHK PWDATACHK PRDATACHK PREADYCHK).,Inject parity mismatch on PADDR/PCTRL/PWDATA.,Slave responds normally (doesn't see parity).,SVA flags UVM_ERROR for parity mismatch.,AST_CHK_01-05,High
TC_AST_001,REQ_AST_01,Protocol Assertions,PENABLE Timing,Negative test: PENABLE must be 0 in SETUP.,N/A (Monitored),N/A,ASSERTION: PENABLE==0 when transitioning IDLE->SETUP.,AST_PEN_01,Critical
TC_AST_002,REQ_AST_02,Protocol Assertions,PSEL Stability,Negative test: PSEL cannot drop during SETUP->ACCESS.,N/A (Monitored),N/A,ASSERTION: PSEL remains 1 until PREADY=1.,AST_PSEL_01,Critical
TC_AST_003,REQ_AST_03,Protocol Assertions,Data Stability,Negative test: Master signals must not change if PREADY=0.,N/A (Monitored),N/A,"ASSERTION: PADDR, PWRITE, PWDATA, PSTRB, PPROT, PNSE, PWAKEUP, PAUSER, PWUSER stable.",AST_STAB_01,Critical
TC_AST_004,REQ_AST_04,Protocol Assertions,PADDR Alignment,Negative test: Address alignment.,Drive unaligned PADDR.,Slave may assert PSLVERR.,ASSERTION/COV: PADDR is aligned to DATA_WIDTH.,AST_ALGN_01,Medium
TC_AST_005,REQ_AST_05,Protocol Assertions,PSLVERR Timing Check,Negative test: PSLVERR only evaluated when PREADY=1.,N/A (Monitored),Assert PSLVERR while PREADY=0.,ASSERTION: PSLVERR should not be sampled/asserted active without PREADY=1.,AST_ERR_TIM,Critical
TC_AST_006,REQ_AST_06,Protocol Assertions,Non-pipelined Protocol Check,Negative test: No outstanding transactions allowed.,N/A (Monitored),N/A,ASSERTION: Cannot start new SETUP phase before current ACCESS phase completes.,AST_NO_PIPE,Critical
TC_AST_007,REQ_AST_07,Protocol Assertions,SETUP to ACCESS Transition,Negative test: SETUP phase must transition to ACCESS in exactly 1 cycle.,N/A (Monitored),N/A,ASSERTION: (PSEL && !PENABLE) |=> (PSEL && PENABLE),AST_SETUP_01,Critical
TC_STR_001,REQ_STR_01,Stress & Random,Long Random Sequence,Catch rare corner cases.,"Drive 10,000+ random transactions.",Randomized responses.,"Zero functional drops, memory matches.",COV_LONG_01,High
TC_STR_002,REQ_STR_02,Stress & Random,Randomized Reset Injection,Test system robustness under random resets.,Inject PRESETn randomly.,Varies based on timing.,System recovers properly every time.,COV_RST_RND,High

--- SVA CODE REFERENCE ---,,,,,,,,,
SVA ID,Rule Code,Description,,,,,,,
AST_IDLE_01,$rose(PRESETn) |-> (PSEL == 1'b0 && PENABLE == 1'b0),"Checks that when reset is lifted, the bus defaults to IDLE (PSEL=0, PENABLE=0).",,,,,,,
AST_PEN_01,$rose(PSEL) |-> (PENABLE == 1'b0),"Checks that in the first cycle of a transaction (SETUP phase), PENABLE must be 0.",,,,,,,
AST_SETUP_01,(PSEL && !PENABLE) |=> (PSEL && PENABLE),Checks that SETUP phase transitions strictly to ACCESS phase in exactly 1 clock cycle.,,,,,,,
AST_PSEL_01,(PSEL && PENABLE && !PREADY) |=> PSEL,Checks that PSEL is held high while waiting for Slave to assert PREADY.,,,,,,,
AST_STAB_01,(PSEL && PENABLE && !PREADY) |=> $stable(PADDR) && ...,"Checks that all Master signals (PADDR, PWRITE, PWDATA, PSTRB, etc.) remain perfectly stable while waiting for PREADY.",,,,,,,
AST_ERR_TIM,PSLVERR |-> (PSEL && PENABLE && PREADY),Checks that Slave Error (PSLVERR) is only asserted and valid when PREADY is high.,,,,,,,
AST_NO_PIPE,(PSEL && PENABLE && PREADY) |=> (PENABLE == 1'b0),Checks the non-pipelined nature of APB: PENABLE must drop after a transaction completes.,,,,,,,
AST_WUP_01,$rose(PSEL) |-> $past(PWAKEUP),Checks APB5 Clock Gating feature: PWAKEUP must be asserted before PSEL.,,,,,,,
AST_ALGN_01,PSEL |-> (PADDR[$clog2(DATA_WIDTH/8)-1:0] == '0),"Checks that the address is properly aligned to the data width boundary (e.g., 4-byte aligned)."
